type,this_url,that_url
full_match,https://github.com/vercel/ms/commit/305f2ddcd4eff7cc7c518aca6bb2b2d2daad8fef,https://github.com/vercel/ms/commit/caae2988ba2a37765d055c4eee63d383320ee662
full_match,https://github.com/vincit/objection.js/commit/46b842a6bc897198b83f41ac85c92864b991d7e9,https://github.com/vincit/objection.js/commit/b41aab8dcd78f426f7468dcda541a7aca18a66a6
full_match,https://github.com/vitejs/vite/commit/80381c38d6f068b12e6e928cd3c616bd1d64803c,https://github.com/vitejs/vite/commit/92ca12dc79118bf66f2b32ff81ed09e0d0bd07ca
full_match,https://github.com/vitejs/vite/commit/80381c38d6f068b12e6e928cd3c616bd1d64803c,https://github.com/vitejs/vite/commit/f234b5744d8b74c95535a7b82cc88ed2144263c1
full_match,https://github.com/vitejs/vite/commit/92ca12dc79118bf66f2b32ff81ed09e0d0bd07ca,https://github.com/vitejs/vite/commit/f234b5744d8b74c95535a7b82cc88ed2144263c1
full_match,https://github.com/websockets/ws/commit/e55e5106f10fcbaac37cfa89759e4cc0d073a52c,https://github.com/websockets/ws/commit/fac8994f104ff55a64a9d8128e1346d30997de78
full_match,https://github.com/wintercms/winter/commit/2a13faf99972e84c9661258f16c4750fa99d29a1,https://github.com/wintercms/winter/commit/bce4b59584abf961e9400af3d7a4fd7638e26c7f
full_match,https://github.com/xwiki/xwiki-platform/commit/0b135760514fef73db748986a3311f3edd4a553b,https://github.com/xwiki/xwiki-platform/commit/742cd4591642be4cdcaf68325f17540e0934e64e
full_match,https://github.com/xwiki/xwiki-platform/commit/0b135760514fef73db748986a3311f3edd4a553b,https://github.com/xwiki/xwiki-platform/commit/bbde8a4f564e3c28839440076334a9093e2b4834
full_match,https://github.com/xwiki/xwiki-platform/commit/4896712ee6483da623f131be2e618f1f2b79cb8d,https://github.com/xwiki/xwiki-platform/commit/9f8cc88497418750b09ce9fde5d67d840f038fbf
full_match,https://github.com/xwiki/xwiki-platform/commit/4896712ee6483da623f131be2e618f1f2b79cb8d,https://github.com/xwiki/xwiki-platform/commit/d88da4572fb7d4f95e1f54bb0cce33fce3df08d9
full_match,https://github.com/xwiki/xwiki-platform/commit/4896712ee6483da623f131be2e618f1f2b79cb8d,https://github.com/xwiki/xwiki-platform/commit/d9f5043da289ff106f08e23576746fd8baf98794
full_match,https://github.com/xwiki/xwiki-platform/commit/6cdd69d31d6bf3caa7f40ec55eb317e4e528ad28,https://github.com/xwiki/xwiki-platform/commit/8b8a2d80529b9a9c038014c1eb6c2adc08069dfd
full_match,https://github.com/xwiki/xwiki-platform/commit/6cdd69d31d6bf3caa7f40ec55eb317e4e528ad28,https://github.com/xwiki/xwiki-platform/commit/910a5018a50039e8b24556573dfe342f143ef949
full_match,https://github.com/xwiki/xwiki-platform/commit/6cdd69d31d6bf3caa7f40ec55eb317e4e528ad28,https://github.com/xwiki/xwiki-platform/commit/9df46f8e5313af46f93bccd1ebc682e28126573f
full_match,https://github.com/xwiki/xwiki-platform/commit/742cd4591642be4cdcaf68325f17540e0934e64e,https://github.com/xwiki/xwiki-platform/commit/bbde8a4f564e3c28839440076334a9093e2b4834
full_match,https://github.com/xwiki/xwiki-platform/commit/8b8a2d80529b9a9c038014c1eb6c2adc08069dfd,https://github.com/xwiki/xwiki-platform/commit/910a5018a50039e8b24556573dfe342f143ef949
full_match,https://github.com/xwiki/xwiki-platform/commit/8b8a2d80529b9a9c038014c1eb6c2adc08069dfd,https://github.com/xwiki/xwiki-platform/commit/9df46f8e5313af46f93bccd1ebc682e28126573f
full_match,https://github.com/xwiki/xwiki-platform/commit/910a5018a50039e8b24556573dfe342f143ef949,https://github.com/xwiki/xwiki-platform/commit/9df46f8e5313af46f93bccd1ebc682e28126573f
full_match,https://github.com/xwiki/xwiki-platform/commit/9f8cc88497418750b09ce9fde5d67d840f038fbf,https://github.com/xwiki/xwiki-platform/commit/d88da4572fb7d4f95e1f54bb0cce33fce3df08d9
full_match,https://github.com/xwiki/xwiki-platform/commit/9f8cc88497418750b09ce9fde5d67d840f038fbf,https://github.com/xwiki/xwiki-platform/commit/d9f5043da289ff106f08e23576746fd8baf98794
full_match,https://github.com/xwiki/xwiki-platform/commit/d88da4572fb7d4f95e1f54bb0cce33fce3df08d9,https://github.com/xwiki/xwiki-platform/commit/d9f5043da289ff106f08e23576746fd8baf98794
full_match,https://github.com/zimbra/zm-admin-ajax/commit/bb240ce0c71c01caabaa43eed30c78ba8d7d3591,https://github.com/zimbra/zm-ajax/commit/8d039d6efe80780adc40c6f670c06d21de272105
full_match,https://github.com/zjonsson/node-unzipper/commit/2220ddd5b58f6252069a4f99f9475441ad0b50cd,https://github.com/zjonsson/node-unzipper/commit/5f68901c2e2e062a5e0083a81d257eccea0eb760
